Mixture	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs	P-value	Correlation	RMSE
E07T1	0.00831199304053694	0.0116541640227308	0.0471822032631468	0.100528512709022	0.0592645728146404	0	0.00412464063358344	0.26637912888917	0.0129681217125201	0.0208184705134886	0	0.073339388254236	0	0.00720069442307458	0.0252249784894346	0.312662057702185	0.0387833332479635	0	0	0	0	0	0.011557740284267	0	0.981907129524556	0.257811641858255
E07T2	0.0106744361275376	0.0455170485551325	0.0444951525390016	0.121017833712901	0.0693402584496992	0.12765728504783	0.0122757992028361	0.0323293379227561	0.0314772402132488	0.0403550273891407	0	0.0574375540618913	0	0.0169970762143652	0.0172636992379022	0.288291158273293	0.042949017721464	0	0.0117023040663689	0.00536433831177802	0.00608479070421162	0	0.0187706422486421	0	0.976620683950942	0.328797168461099
E07T3	0.0106755882404032	0.0282090636126885	0.0478130837823735	0.110002372676863	0.0764523518072543	0.121859661664557	0.00677877574430256	0	0.0290013602414315	0.0448565977681768	0	0.0313902224933184	0	0.00923411874281222	0.0412552615924369	0.275408157243568	0.0363238318655514	0.0716964915036938	0.00348688434607432	0.0287224133803234	7.42097303631753e-05	0.0111654053381113	0.0155941482256961	0	0.977117157385871	0.27058922485105
E16T1	0.0216227199169917	0	0.0780883465508959	0.138231387423681	0.0426999796106084	0	0.0192930483973803	0.214465639614077	0.0178181002202323	0.0109951571678542	0	0.0343673124551717	0	0.00524190874678903	0.0157049160851993	0.331742618370873	0.0309006290916797	0.024345445897053	0	0.00164933315611603	0	0	0.0128334572953982	0	0.96810115640375	0.297115751372277
E16T2	0.0144682092551376	0.0155102144628415	0.00298511434917402	0.149572921353024	0.0126339003697539	0	0.0210397585383658	0.0819300815747106	0.0152914349035127	0.0154885964200606	0	0.0415564947321937	0	0.0140460128907654	0.0156813138613225	0.375339705606291	0.0343994472946849	0	0.0581084228122541	0.0107304993357373	0.105523915822571	0	0.0156939564176004	0	0.986794264506655	0.164665008245767
E16T3	0.0148844727546709	0.0189271077685666	0.0349689601470985	0.221287544899069	0.0247392179272697	0.140022863289196	0.0235498408401005	0	0.0246316134282032	0.0180064923504609	0	0.0304867800486485	0	0.0215006210211935	0.0303693586587543	0.174871428664729	0.0648291732551618	0.0207319368827311	0.0422014493474331	0.0115018298709084	0.0499913528618841	0.0187144750073165	0.0137834809766038	0	0.968824142184247	0.414409246951022
E17T1	0.060393423029121	0.0148216335351289	0.103394509732894	0.106390970033841	0.0883423993843281	0	0.0265301981877043	0.0888294653788313	0.0285213872139604	0.00450801476422187	0	0.0499690389208262	0.0158418939254427	0.00488543647352284	0.000649871462531748	0.191419984076264	0.0430438989535812	0.0560721257610227	0.0293429157396098	0.0497952155172948	0.0249859428202166	0	0.0122616750896562	0	0.958960110229842	0.333860676216355
E17T2	0.140962571679309	0.029401075904836	0.0745936836033384	0.121031341295942	0.0371834932510545	0.0796642558111323	0.0214057458786939	0	0.00945646592596681	0.0255905737012422	0	0.031544392558452	0	0.00565256025632094	0	0.178180834224863	0.079978440488757	0.0956488086319957	0.0160200395119946	0.0386770882578082	0	0	0.0150086290182943	0	0.866725086169213	0.530378158597344
E17T3	0.0294487865045267	0.0316787298746619	0.0495458965351794	0.121311296009062	0.016484564394774	0.159061116402662	0.00798144913969785	0	0.014932837715794	0.0180561749336494	0.0447655437305863	0.0312030349628967	0.0100690916632984	0.0194919126272708	0.0072963370517023	0.257585774783685	0.0507143067657314	0.0204076974949382	0.0184565413255789	0.0311223133939558	0.0420802972896572	0.0122232112895724	0.00608308611111999	0	0.91900486608504	0.417957026963606
E32T1	0.0159080220108941	0.0259502069670708	0.0280124212694367	0.136092820168319	0.0576190013511423	0.100325427642684	0.0332526613164359	0	0.0160893016536442	0.0358697189950258	0.0748924595955179	0.0319513905664417	0	0.0328120031185881	0.0229102057940188	0.14074630550745	0.0802098355173488	0.0821722843201583	0.0211665055453024	0.00131199249685257	0.0388357859743507	0	0.0238716501893186	0	0.954219987551306	0.408410222804647
E32T2	0.0145710292827532	0.0306867907726199	0.062008433430773	0.193997377429242	0.0499330412608533	0	0.020451790728986	0	0.0191641283227899	0.0236071559667314	0.0980498885687205	0.0333278333956656	0.0223782774766836	0.022028608244231	0.0535816045508199	0.0851912579552025	0.0809504045075117	0.0661914194765	0	0.0502997384180153	0.0300655985412497	0.0397799151980671	0.00373570647258436	0	0.900482446244807	0.571286546216378
E32T3	0.00554763559684752	0.00532920304254062	0.0150693424473128	0.143887536277069	0.0505551503957078	0.0603760775953055	0.102749033213879	0	0.0115660568352001	0.039993455337802	0.087473229520352	0.00366415400210693	0.0297407770328827	0.0631516636544075	0.0766503422124035	0.0244023396365995	0.0804439548099868	0.0653059892926085	0	0.0228880339784042	0.0555099721032331	0.0473490372165486	0.00834701579880217	0	0.607498753019677	0.803879821324924
E40T1	0.0232399001768276	0	0.0366766040051006	0.107373890724099	0.0692797516946203	0	0.0158248625198857	0.459823274791076	0.0176719045648447	0.0199371681954072	0.0194347429151937	0.0271915819410958	0	0.00596629667855627	0.025302528556568	0.0864384508856135	0.0691433570948849	0	0.00383907558338755	0	0	0	0.0128566096728392	0	0.972538534400926	0.417443057425514
E40T2	0.00778251840856039	0.0121873465094829	0.0178549648400051	0.155657835143202	0.0484004352038957	0.0187575313229756	0.0126047673915666	0.0164474937461982	0.019512844596897	0.0218064436479259	0	0.0621638928532171	0	0.0369565909541246	0.0196571803881474	0.3776548005986	0.0645535116551568	0	0.037793970382465	0.00471141052600301	0.0535140072790614	0	0.0119824545525147	0	0.966121632983476	0.320646231870574
E40T3	0.0799722594303143	0.0330972998670755	0.0665452654194276	0.0804275742969965	0.0876165794243149	0.128341175536387	0.0210604284506176	0	0.0190862938512057	0.0232357548275977	0.0535511795404809	0.0318313925216378	0.0241941307337518	0.0242697871700722	0.030628308643341	0.162910473133206	0.0492723982165045	0.0201077867773384	0.00901437759089129	0	0.0398361843110258	0	0.0150013502578135	0	0.969627211545834	0.465638293839144
E41T1	0.00985466676741134	0	0.027869015914268	0.0866385940711217	0.0866093234317432	0.0918584129528925	0.029860780975245	0.172379935246833	0.021471105781112	0.0560074339596239	0	0.0359807700342388	0.00221647829333419	0.0244905991474308	0.0174983025817061	0.205520447393075	0.057194977523879	0	0.0227387617234691	0.000688122597224757	0.0360716224558473	0	0.0150506491495451	0	0.963179146636763	0.273247829342372
E41T2	0.00934734148038051	0.0106965226378491	0.00478696990737148	0.140635483574165	0.0386507835648984	0.178249878693494	0.0150593052623222	0.106476004415703	0.0446360027735398	0.0576744792647839	0	0.0620153367533786	0	0.0208569629412084	0.0300496794695133	0.131805416845003	0.0380196916584435	0	0.0124146651280483	0.00881537980705427	0.0725624294744106	0	0.0172476663484331	0	0.970340041214003	0.287681654088553
E41T3	0.0263785241920381	0.0311322678156454	0.0451570142244902	0.166067835616435	0.0186590949655453	0.160621862467795	0.0450051601115084	0.0121416629192882	0.0648367026968602	0.0349078126813264	0	0.0590964203678141	0	0.0204458243884288	0.00727251921392637	0.17828607589186	0.0466774353103064	0	0.0358438392727555	0.0250750616343978	0	0	0.0223948862295794	0	0.936379494646376	0.505940285028816
G01T1	0.011689578076537	0.0311706515019096	0.0175191466988285	0.0283036051565272	0.0524888060528522	0	0.0580977837093714	0.225176313107076	0.0344970501946906	0.0335331812796794	0	0.0274377000734389	0	0.0159219652955317	0.0349537545974996	0.281583296667145	0.0505122329578696	0	0.00844632676468531	0.00103528926924049	0.076666532188334	0	0.0109667864087836	0	0.976301566611547	0.250595007495787
G01T2	0.00464022791055565	0	0	0.129621453865012	0.0467229748385543	0.324867775239268	0.0865394233535757	0.0396850503935369	0.027276051164928	0.0528916091198476	0	0.0417818302908979	0.00714903985104776	0.00757613731638432	0.0461758028044942	0.0483241924260394	0.0634343089989229	0	0.0102722372348634	0.00354064282928514	0.0387317233926316	0	0.0207695189701558	0	0.954937179969157	0.429664290056736
G01T3	0.0400696503014475	0.0354730777770151	0.0286103508522441	0.179435542350514	0.0631781941925526	0.174432862525508	0.101420372503429	0	0.0466365674800236	0.0249538031288186	0.0547345127039402	0.0280564296670722	0.00286840460096035	0.00730197816843818	0.0579119120010638	0	0.052904487682163	0.00845224760339146	0.00367020021543639	0	0.0320874150769949	0.0409476756198433	0.0168543155491445	0	0.954594655323941	0.64681614941699
G07T1	0.00677100254506841	0.0113976107458918	0.0647486151774905	0.155837740789137	0.0939500082034884	0.0107647896541264	0.0490082980514231	0.20995247561107	0.0691262218234845	0.0152265629813622	0	0.0399678203419579	0	0.0151797615023914	0.017935444477634	0.188075859206817	0.0348256700991997	0	0	0.00223649641872081	0	0	0.0149956223707371	0	0.982240808984889	0.221148384440703
G07T2	0.0120507528107767	0.0287461743458415	0.0513038371318542	0.167828237937363	0.0785085297410166	0.0671739027187089	0.0412016910110061	0.00320130107285422	0.0974662085746048	0.00429056008074559	0	0.0677016200114875	0.000401029191029406	0.0248537770531597	0.0586348868489228	0.137119275016521	0.030462235775197	0.0222631057302926	0	0.0461109267633878	0.0376598312416343	0.0176827328193815	0.00533938412421556	0	0.977684812940208	0.498426736663771
G07T3	0.00874683601837185	0.0399688648466673	0.0439228143096129	0.110477066867772	0.0961992183238202	0.0778441235156086	0.0566395396061466	0	0.0903391412329482	0.00499402077907357	0	0.068578019713092	0	0.0253678243926282	0.0748571396219487	0.103574907125905	0.0241812518377317	0.0350935458987555	0	0.0410703873981855	0.0458519454897833	0.0507567875683113	0.00153656545363755	0	0.965504236266825	0.530441114982741
G11T1	0.0155513962911151	0.00464496071892993	0.0516294818626655	0.142762457853505	0.0562190351988451	0	0.0355618372287867	0.20117718361017	0.0271363152901521	0.00323689652267584	0	0.0650063574390439	0	0.0220842697817886	0.00284202019626397	0.266306969762819	0.0189942539679343	0	0.0271042868842859	0.00560923451822885	0.0421301283325042	0	0.0120029145402856	0	0.982418212127501	0.189540741274018
G11T2	0.0751673881175917	0.016316380028794	0.0810530726444396	0.122001482427177	0.0517050270199043	0	0.036878994170872	0	0.0576219257296942	0.0125366480340147	0	0.051827464162887	0	0.00941971216722722	0.00695796078895633	0.28593552083427	0.023061169211356	0.0785240176605006	0.0078037515180047	0.0502164141485909	0.0247200432921137	0	0.00825302804360688	0	0.989677671644956	0.265906112028568
G11T3	0.0335411010708123	0.0480555152678402	0.0471534934892584	0.142930643103446	0.0625509311465208	0.0477309345944995	0.0411523462374164	0	0.0442490781966128	0.0227073147542034	0.0207551225750853	0.0287175564520561	0.0102459132160409	0.0317376999871406	0.0302961897548173	0.0738554130898438	0.0458334534680232	0.151840087153251	0	0.0567722871348627	0.0429288155460469	0.00411095361438734	0.0128351501478352	0	0.939152500995085	0.395299271878413
G12T1	0.0120187174716214	0.0128517162569789	0.0395139004330071	0.0506663303661419	0.0639317585215238	0	0.00236517814013223	0.318931006117561	0.014625665692233	0.00821053146438107	0	0.0494777978805556	0	0.0202677339075067	0.00978678858129658	0.265804971793566	0.0217458994818614	0.00685225797443433	0	0.00139109948012643	0.0772540806607145	0	0.024304565776358	0	0.978313708038066	0.411201914448752
G12T2	0.0167291914593294	0.0125808359635378	0.00596162268318599	0.142204003838727	0.0368293005174909	0	0.0204674471806392	0.0815834392897237	0.014537058462524	0.00128155690034377	0	0.05000872392251	0	0.0112050686461869	0.0241071662601263	0.401367109049425	0.00550070490119443	0	0.00917182001581878	0.00970848097484955	0.145958769370455	0	0.0107977005639325	0	0.981621437891528	0.210684510691516
G12T3	0.00492435146533321	0.000711303115023781	0	0.286178843957228	0.0968141440829899	0.0559016616364765	0.0430174398477126	0	0.0236086361440701	0.0292268153901466	0	0.0184046124495558	0.00357547459183957	0.0377195494884283	0.0371786167922401	0.19572002367187	0.0274632368265099	0.00939368580212693	0	0.024650011304009	0.102377377212057	0	0.00313421622238215	0	0.988234342123651	0.354298313579608
G26T1	0.00500180178884964	0.00769294044932485	0.0198496565929609	0.054104479705425	0.0201159160029364	0	0.0149953522373354	0.124653036520913	0.0183893092322939	0	0	0.0327389118463826	0	0.0153876219653719	0.00788569435139402	0.516272586297175	0.0266832531367931	0	0.0383989605655208	0.0552839908750421	0.0326308797378063	0	0.00991560869447585	0	0.975697225535777	0.322959434305548
G26T2	0.0157129498772027	0.0154204362762687	0.049259776521185	0.0630937159917689	0.0102506740620635	0	0.0201521246736047	0	0.021711616609092	0.00841580176672681	0	0.0406112770144762	0	0.014362601290668	0.00115116054206821	0.367169936379211	0.041767135087807	0.160094329570087	0.0190899114955058	0.138128422415052	0	0	0.0136081304272115	0	0.976554740229631	0.2676648854446
G26T3	0.0176598269681065	0.00857394683153679	0.068342503035169	0.0850646492618647	0.0135968004477061	0	0.0193375754492292	0	0.0189629615553515	0.0194591709325605	0.0252068980475241	0.0467124664480579	0.0039726860799626	0.0225549081544296	0.018173800474853	0.195322896931758	0.0656239484444871	0.170477151887702	0.00887003488247136	0.157885580335031	0.013050182241808	0	0.0211520115903909	0	0.969141594490032	0.247166693185791
G28T1	0.00429329636655881	0.0323815059563915	0.0466274969395084	0.149492051296632	0.140839626609757	0.0347398383915439	0	0.0719392005267697	0.0346355848217703	0.0438974158010014	0	0.0337264530764198	0.0144951932284902	0.0147286731078844	0.0283921198570333	0.146731970016331	0.084239217579386	0.00595937368986704	0.0479969480327302	0	0.0458925290541843	0	0.0189915056477415	0	0.970773561129381	0.449067783905009
G28T2	0.023867616985882	0.0168254588905485	0.0753640636632472	0.136339403629705	0.108782531974346	0	0.0139753876775354	0	0.0303520805154992	0.0204895993603869	0.00846445610619016	0.0437818958276048	0.0104333235911977	0.0200556160644106	0.0346908267516191	0.294828875095509	0.0333444252824114	0.0443800717539848	0.0334858405552641	0.0193389928499331	0.0218584811930622	0	0.00934105223166237	0	0.977276095165724	0.365122508067567
G28T3	0.128492983355403	0.0395297708743187	0.0780775239258416	0.119547889536862	0.118014522140477	0	0.0598831366875257	0	0.0209194109612848	0.0168568597762599	0.0495532673743301	0.0320628460558543	0	0.0208701305024878	0.0656527342344885	0.0738656931947956	0.0404139388206081	0.0443894835558246	0.0389504380346633	0.0149507781095165	0.0188161198619713	0	0.0191524729974877	0	0.929992778323739	0.671433908017272
G29T1	0.00644837955471763	0.0212976247818988	0.0195404222035968	0.116967987468018	0.00267556579415342	0	0	0.181186692100784	0.0135597230557162	0.0112141139493216	0.00676152071830288	0.0289431347248242	0.000671509045957933	0	0.000980003221362478	0.431721214504425	0.0457268812709916	0	0.0530172266837141	0.00113516817140577	0.0383466077623564	0	0.0198062249884532	0	0.978175827126015	0.293206483335034
G29T2	0.00816109429603449	0.00965586696813288	0	0.193021344060227	0.00273735088868307	0	0.0419211537642272	0.0331868371848906	0.0314563100194826	0.0140790674146841	0.0274779525940508	0.0248893015514113	0	0.0310842307224225	0.0144899804373822	0.35131637457795	0.0665850116697682	0.00183931282234753	0.0299872134673538	0	0.111344880021593	0	0.00676671753935798	0	0.986169859316434	0.216511791615429
G29T3	0.026283401115029	0.0295255994999741	0.00204578291289138	0.191024594206525	0.00566314143403498	0.14370078952746	0.0550435911182705	0	0.0333840001405186	0.0117064051000788	0.121382718475202	0.0195168642598829	0	0.0323396847802988	0.0371256027203718	0.10369769181723	0.0871017786977807	0.0104465502301847	0.00822980747506529	0.00673896553289559	0.0396235391022684	0.0354194918540369	0	0	0.974184753091664	0.48192985533712
